Session,Date/Time,ColorType,EmailAddress,
3dc36f36-6d91-4557-a5e5-1a2b27695e2e,8/31/2012 1:42 PM,Color,,
8108e2ba-acbc-45cc-9019-70e28ca1e354,8/31/2012 7:32 PM,Color,george@devnullenterprises.com,
7ef29a28-8813-4be4-9e2d-c839987efd15,8/31/2012 7:54 PM,Color,george@devnullenterprises.com,
40020c6a-8274-4db4-a67c-e3dd4478fea6,8/31/2012 8:00 PM,BW,george@devnullenterprises.com,
ccb66f30-1658-4504-9e85-5de8ce9820af,8/31/2012 8:13 PM,BW,george@devnullenterprises.com,
4dc80a00-b509-445b-903f-576bdd44212f,8/31/2012 8:18 PM,Color,george@devnullenterprises.com,
ba864bf0-9306-47cb-8168-6366f07dc4ee,9/1/2012 2:23 AM,Color,george@devnullenterprises.com,
9d134deb-324d-4a55-8da5-385149c15698,9/1/2012 2:28 AM,Color,george@devnullenterprises.com,
5dd7a3b6-9329-4aba-92f3-994892e2b2eb,9/1/2012 2:35 AM,Color,george@devnullenterprises.com,
ab6dd634-a0fb-439d-976a-52bf401ed4dd,9/4/2012 4:10 PM,BW,,
4efcf969-49a1-4f43-a8c9-afaa9d83894a,9/4/2012 4:15 PM,BW,,
582ed837-1356-4529-b48e-e5764a0b341a,9/4/2012 4:18 PM,BW,,
4a954f69-847c-4dfc-a27f-db8cb6fa4395,9/4/2012 4:20 PM,BW,,
b3b61e60-2ce4-413c-a160-7f8561b13d0a,9/4/2012 4:24 PM,BW,,
bccd0919-4d2d-442e-821f-9d25c754d032,9/4/2012 4:25 PM,BW,,
4f4f566b-5cdc-4726-9336-ead4e0d650f1,9/4/2012 5:58 PM,BW,,
f75a7750-401a-4024-a843-fedabbb2619b,9/4/2012 5:59 PM,BW,,
bb291d30-a931-4670-b1ef-5ac293cbd43a,9/4/2012 7:20 PM,BW,george@devnullenterprises.com,"YES","SENSITIVE","YES",
324ccda0-d411-44f6-8e9e-156b2b7dcd76,9/4/2012 7:32 PM,BW,george@devnullenterprises.com,"YES","OILY","SENSITIVE",
8e6ec54f-7d16-4155-a87f-94857aed54ce,9/4/2012 7:52 PM,BW,george@devnullenterprises.com,"YES","SENSITIVE","YES",
c8c36310-8ab7-42e0-ad69-76d2269a566d,9/4/2012 8:00 PM,BW,george@devnullenterprises.com,"YES","SENSITIVE","YES",
d60cf977-86b8-407c-bd4d-36782b0c6dfb,9/4/2012 9:37 PM,BW,george@devnullenterprises.com,"YES","DRY","ACNE_BLEMISHS",
547213fa-1246-49fe-ad81-59bc7d39e4e7,9/4/2012 10:05 PM,BW,george@devnullenterprises.com,"YES","OILY","AGE_SPOTS",
f584b5e2-c903-4b03-9980-ed7af5ddc8cd,9/4/2012 10:28 PM,BW,george@devnullenterprises.com,"YES","OILY","ACNE_BLEMISHS",
c29efea3-db04-4100-8e00-50f80c76a778,9/4/2012 10:39 PM,BW,george@devnullenterprises.com,"YES","OILY","ACNE_BLEMISHS",
57bab4ce-9a62-4c15-a4ab-7299efe3a2ad,9/4/2012 10:43 PM,BW,george@devnullenterprises.com,"YES","SENSITIVE","ACNE_BLEMISHS",
13cc2531-456b-40e8-b501-44519686673b,9/4/2012 10:46 PM,BW,george@devnullenterprises.com,"YES","OILY","ACNE_BLEMISHS",
92cecc64-b1d7-4ffd-9a46-2b2503487c15,9/4/2012 10:49 PM,BW,george@devnullenterprises.com,"YES","OILY","ACNE_BLEMISHS",
f0eb8f74-5c72-4aba-b9dc-5303363e733e,9/4/2012 10:57 PM,BW,george@devnullenterprises.com,"YES","COMBINATION","ACNE_BLEMISHS",
af9c6018-e31a-43da-96f8-75d4b3edd6bd,9/4/2012 11:02 PM,BW,george@devnullenterprises.com,"YES","OILY","ACNE_BLEMISHS",
